Country,University,College_1st_Choice,Application_Source,Course,Education_Level,Season,Month_Year
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Taxation,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Supply Chain Management,MS,Fall,September 2025
United states,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2024
Nigeria,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2023
Ethiopia,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Full-time MBA,Unknown,Fall,September 2024
Ghana,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
Myanmar,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Marketing,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Marketing,MS,Spring,March 2024
Ghana,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Cybersecurity,MS,Fall,September 2024
Ghana,DePaul University,School of Public Service,Non Study Group,International Public Service,MS,Spring,March 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Human-Computer Interaction,MS,Fall,September 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Educational Leadership,MA,Fall,September 2023
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Winter,January 2024
Ghana,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Audit and Advisory Services,MS,Winter,January 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Nigeria,DePaul University,College of Education,Non Study Group,Value-Creating Education for Global Citizenship,PHD,Fall,September 2025
Canada,DePaul University,College of Education,Non Study Group,Elementary Education,MA,Summer,June 2024
Canada,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Full-time MBA,Unknown,Fall,September 2025
Canada,DePaul University,College of Liberal Arts and Social Sciences,Non Study Group,Philosophy,MA,Fall,September 2025
Saudi arabia,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Spring,March 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Winter,January 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2023
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Data Science,MS,Spring,March 2024
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Fall,September 2025
United kingdom,DePaul University,College of Education,Non Study Group,Early Childhood Education,LICENSURE ONLY,Fall,September 2024
Ghana,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Business Information Technology,MS,Winter,January 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2025
Ghana,DePaul University,School of Music,Non Study Group,Music Education,MM,Fall,September 2025
India,DePaul University,College of Science and Health,Non Study Group,Chemistry,MS,Spring,March 2025
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Business Analytics,MS,Winter,January 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Spring,March 2024
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Computer Science,MS,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Health Informatics,MS,Winter,January 2024
Ghana,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Fall,September 2025
India,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Information Systems,MS,Fall,September 2024
United states,DePaul University,Jarvis College of Computing and Digital Media,Non Study Group,Artificial Intelligence,MS,Fall,September 2023
India,DePaul University,Kellstadt Graduate School Of Business,Non Study Group,Finance,MS,Fall,September 2024
South africa,DePaul University,The Theatre School,Non Study Group,Acting,MFA,Fall,September 2024
